COUNTRY,TIME,VALUE ,MEASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/13,1221,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/14,1206,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/14,1269,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/14,1217,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/14,1204,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/14,1204,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,6/1/14,1204,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,7/1/14,1217,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,8/1/14,1216,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,9/1/14,1197,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,10/1/14,1188,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,11/1/14,1204,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/14,1186,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/15,1178,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/15,1144,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/15,1138,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/15,1133,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/15,1184,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,6/1/15,1163,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,7/1/15,1173,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,8/1/15,1174,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,9/1/15,1176,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,10/1/15,1185,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,11/1/15,1195,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/15,1199,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/16,1123,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/16,1125,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/16,1137,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/16,1141,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/16,1133,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,6/1/16,1104,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,7/1/16,1145,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,8/1/16,1161,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,9/1/16,1182,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,10/1/16,1171,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,11/1/16,1184,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/16,1149,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/17,1091,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/17,1084,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/17,1085,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/17,1075,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/17,1069,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,6/1/17,1071,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,7/1/17,1065,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,8/1/17,1067,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,9/1/17,1063,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,10/1/17,997,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,11/1/17,1002,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/17,1037,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,1/1/18,1013,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,2/1/18,1036,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,3/1/18,966,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,4/1/18,979,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,5/1/18,1040,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,6/1/18,1054,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,7/1/18,1064,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,8/1/18,1062,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,9/1/18,1072,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,10/1/18,1070,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,11/1/18,1068,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria ,12/1/18,1075,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/09,33,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/09,37,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/09,35,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/09,34,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/09,33,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/09,33,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/09,32,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/09,32,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/09,33,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/09,31,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/09,31,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/09,31,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/10,30,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/10,32,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/10,30,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/10,30,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/10,29,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/10,33,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/10,33,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/10,31,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/10,32,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/10,34,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/10,34,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/10,37,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/11,40,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/11,40,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/11,40,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/11,39,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/11,41,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/11,42,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/11,46,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/11,45,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/11,46,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/11,47,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/11,46,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/11,45,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/12,45,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/12,48,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/12,46,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/12,46,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/12,44,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/12,47,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/12,44,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/12,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/12,46,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/12,45,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/12,46,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/12,47,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/13,44,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/13,43,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/13,51,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/13,46,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/13,48,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/13,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/13,48,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/13,50,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/13,52,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/13,51,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/13,50,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/13,47,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/14,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/14,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/14,51,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/14,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/14,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/14,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/14,50,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/14,51,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/14,50,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/14,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/14,50,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/14,48,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/15,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/15,48,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/15,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/15,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/15,52,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/15,56,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/15,52,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/15,50,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/15,51,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
